reference_id,source_sheet,disease_name,microbe_name_raw,microbe_name_cn,microbe_key,genus_hint,taxon_level,abundance_change_raw,abundance_shift,microbe_role_raw,microbe_role_in_disease,disease_effect_on_microbe,desired_step1_effect,relation_confidence,mechanism_note
DMR_0001,microbe_to_disease,痔疮,Cyanobacteria 门,蓝藻门,cyanobacteria门,Cyanobacteria,phylum,↓ 减少,decrease,保护,protective,decrease,promote,high,"MR分析证实：蓝藻门丰度增加与痔疮风险降低相关（OR=0.947, P=2.10×10⁻³）"
DMR_0002,microbe_to_disease,痔疮,Phascolarctobacterium,考拉杆菌属,phascolarctobacterium,Phascolarctobacterium,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,"MR分析证实为保护性菌群（OR=0.960, P=0.034），产丙酸，具有抗炎作用"
DMR_0003,microbe_to_disease,痔疮,FamilyXI,第十一家族（梭菌科）,familyxi,FamilyXI,family,↓ 减少,decrease,保护,protective,decrease,promote,high,"MR分析证实为保护性菌群（OR=0.974, P=0.027）"
DMR_0004,microbe_to_disease,痔疮,Ruminococcaceae_UCG_002,瘤胃球菌科_UCG_002,ruminococcaceaeucg002,Ruminococcaceae_UCG_002,family,↑ 增加,increase,致病,risk,increase,inhibit,high,"MR分析证实为危险因素（OR=1.036, P=0.042）"
DMR_0005,microbe_to_disease,痔疮,Peptostreptococcaceae 科,消化链球菌科,peptostreptococcaceae科,Peptostreptococcaceae,family,↑ 增加,increase,致病,risk,increase,inhibit,high,"MR分析证实为危险因素（OR=1.042, P=0.029）"
DMR_0006,microbe_to_disease,痔疮,Oscillospira,颤螺旋菌属,oscillospira,Oscillospira,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,"MR分析证实为危险因素（OR=1.048, P=0.026）；存在反向因果关联（痔疮亦可影响该菌）"
DMR_0007,microbe_to_disease,痔疮,Alcaligenaceae 科,产碱菌科,alcaligenaceae科,Alcaligenaceae,family,↑ 增加,increase,致病,risk,increase,inhibit,high,"MR分析证实为危险因素（OR=1.048, P=0.036）"
DMR_0008,microbe_to_disease,痔疮,Burkholderiales 目,伯克霍尔德氏菌目,burkholderiales目,Burkholderiales,order,↑ 增加,increase,致病,risk,increase,inhibit,high,"MR分析证实为危险因素（OR=1.074, P=6.50×10⁻³）"
DMR_0009,microbe_to_disease,痔疮,Prevotella,普雷沃氏菌属,prevotella,Prevotella,genus,↑ 增加（血栓性痔疮）,increase,致病,risk,increase,inhibit,high,在血栓性痔疮患者中丰度高于非血栓性痔疮，提示可能参与血栓形成
DMR_0010,microbe_to_disease,痔疮,Staphylococcus,葡萄球菌属,staphylococcus,Staphylococcus,genus,痔疮组织中富集,unknown,致病,risk,unknown,unknown,low,痔疮微生物组受皮肤菌群影响，葡萄球菌是皮肤来源的标志菌
DMR_0011,microbe_to_disease,便秘（Constipation）,Bifidobacterium longum,长双歧杆菌,bifidobacteriumlongum,Bifidobacterium,species,↓ 减少,decrease,保护,protective,decrease,promote,high,含abfA基因簇，促进阿拉伯聚糖利用，产乙酸，改善肠道动力
DMR_0012,microbe_to_disease,便秘（Constipation）,Lactiplantibacillus plantarum,植物乳杆菌,lactiplantibacillusplantarum,Lactiplantibacillus,species,↓ 减少,decrease,保护,protective,decrease,promote,high,调节胆汁酸代谢，促进肠道蠕动；临床有效率67%
DMR_0013,microbe_to_disease,便秘（Constipation）,Lactobacillus bulgaricus,保加利亚乳杆菌,lactobacillusbulgaricus,Lactobacillus,species,↓ 减少,decrease,保护,protective,decrease,promote,high,与长双歧杆菌、嗜热链球菌协同改善STC
DMR_0014,microbe_to_disease,便秘（Constipation）,Streptococcus thermophilus,嗜热链球菌,streptococcusthermophilus,Streptococcus,species,↓ 减少,decrease,保护,protective,decrease,promote,high,三菌联用（Golden Bifid）调节MAPK和5-HT信号通路
DMR_0015,microbe_to_disease,便秘（Constipation）,Roseburia,罗氏菌属,roseburia,Roseburia,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,产丁酸，与丁酸盐、乙酸盐水平正相关
DMR_0016,microbe_to_disease,便秘（Constipation）,Faecalibacterium prausnitzii,普拉梭菌,faecalibacteriumprausnitzii,Faecalibacterium,species,↓ 减少,decrease,保护,protective,decrease,promote,high,产丁酸，抗炎；与便秘症状改善正相关（r=0.85）
DMR_0017,microbe_to_disease,便秘（Constipation）,Acinetobacter,不动杆菌属,acinetobacter,Acinetobacter,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,便秘患者中丰度降低
DMR_0018,microbe_to_disease,便秘（Constipation）,Blautia,布劳特氏菌属,blautia,Blautia,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,便秘患者中丰度降低
DMR_0019,microbe_to_disease,便秘（Constipation）,Dorea formicigenerans,产甲酸多尔氏菌,doreaformicigenerans,Dorea,species,↓ 减少,decrease,保护,protective,decrease,promote,high,便秘患者中丰度降低
DMR_0020,microbe_to_disease,便秘（Constipation）,Eubacterium ramulus,枝状真杆菌,eubacteriumramulus,Eubacterium,species,↓ 减少,decrease,保护,protective,decrease,promote,high,便秘患者中丰度降低
DMR_0021,microbe_to_disease,便秘（Constipation）,Halomonas,盐单胞菌属,halomonas,Halomonas,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,便秘患者中丰度降低
DMR_0022,microbe_to_disease,便秘（Constipation）,Bifidobacterium longum,长双歧杆菌,bifidobacteriumlongum,Bifidobacterium,species,菌株特异性,unknown,双向,unknown,unknown,unknown,low,含abfA基因簇的菌株有效，不含则无效；有效菌株促进阿拉伯聚糖利用和乙酸产生
DMR_0023,microbe_to_disease,便秘（Constipation）,Escherichia coli,大肠杆菌,escherichiacoli,Escherichia,species,菌株特异性,unknown,双向,unknown,unknown,unknown,low,健康对照组中特定菌株富集；但AIEC菌株具致病性
DMR_0024,microbe_to_disease,便秘（Constipation）,Alistipes,另枝菌属,alistipes,Alistipes,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,便秘患者（尤其是结肠传输延迟型）中富集
DMR_0025,microbe_to_disease,便秘（Constipation）,Alistipes onderdonkii,翁氏另枝菌,alistipesonderdonkii,Alistipes,species,↑ 增加,increase,致病,risk,increase,inhibit,high,结肠传输延迟型便秘患者中关键菌
DMR_0026,microbe_to_disease,便秘（Constipation）,Akkermansia,阿克曼菌属,akkermansia,Akkermansia,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,便秘患者（结肠传输延迟型）中富集
DMR_0027,microbe_to_disease,便秘（Constipation）,Oscillibacter,颤杆菌属,oscillibacter,Oscillibacter,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,结肠传输延迟型便秘患者中富集
DMR_0028,microbe_to_disease,便秘（Constipation）,Ruthenibacterium,鲁泰尼杆菌属,ruthenibacterium,Ruthenibacterium,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,结肠传输延迟型便秘患者中关键菌
DMR_0029,microbe_to_disease,便秘（Constipation）,Ruthenibacterium lactatiformans,产乳酸鲁泰尼杆菌,ruthenibacteriumlactatiformans,Ruthenibacterium,species,↑ 增加,increase,致病,risk,increase,inhibit,high,结肠传输延迟型便秘患者中关键菌
DMR_0030,microbe_to_disease,便秘（Constipation）,Klebsiella pneumoniae,肺炎克雷伯菌,klebsiellapneumoniae,Klebsiella,species,↑ 增加,increase,致病,risk,increase,inhibit,high,结肠传输正常型便秘患者中关键菌
DMR_0031,microbe_to_disease,便秘（Constipation）,Holdemanella,霍尔德曼氏菌属,holdemanella,Holdemanella,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,便秘患者中丰度增加
DMR_0032,microbe_to_disease,便秘（Constipation）,Parabacteroides,副拟杆菌属,parabacteroides,Parabacteroides,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,便秘患者中丰度增加
DMR_0033,microbe_to_disease,便秘（Constipation）,Pseudomonas,假单胞菌属,pseudomonas,Pseudomonas,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,便秘患者中丰度增加
DMR_0034,microbe_to_disease,便秘（Constipation）,Streptococcus,链球菌属,streptococcus,Streptococcus,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,便秘患者中丰度增加
DMR_0035,microbe_to_disease,便秘（Constipation）,Clostridium spp.（部分菌种）,梭菌属（部分菌种）,clostridiumspp部分菌种,Clostridium,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,与便秘症状改善负相关（r=-0.8）
DMR_0036,microbe_to_disease,便秘（Constipation）,Patescibacteria 门,帕特西杆菌门,patescibacteria门,Patescibacteria,phylum,↑ 增加,increase,致病,risk,increase,inhibit,high,STC大鼠模型中丰度增加，益生菌可逆转
DMR_0037,microbe_to_disease,肛周脓肿（Anorectal Abscess）,Butyrivibrio,丁酸弧菌属,butyrivibrio,Butyrivibrio,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,产丁酸，抗炎，降低肛周脓肿发生风险
DMR_0038,microbe_to_disease,肛周脓肿（Anorectal Abscess）,Ruminiclostridium 5,瘤胃梭菌属-5,ruminiclostridium5,Ruminiclostridium,species,↓ 减少,decrease,保护,protective,decrease,promote,high,产短链脂肪酸，维持肠道稳态
DMR_0039,microbe_to_disease,肛周脓肿（Anorectal Abscess）,Sutterella,萨特氏菌属,sutterella,Sutterella,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,抗炎作用，与肠道健康相关
DMR_0040,microbe_to_disease,肛周脓肿（Anorectal Abscess）,Ruminococcaceae UCG003,瘤胃球菌科UCG003,ruminococcaceaeucg003,Ruminococcaceae,family,↓ 减少,decrease,保护,protective,decrease,promote,high,产乙酸，维持肠道稳态；OR=0.61
DMR_0041,microbe_to_disease,肛周脓肿（Anorectal Abscess）,Erysipelatoclostridium,丹毒梭菌属,erysipelatoclostridium,Erysipelatoclostridium,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,抗炎相关；OR=0.68
DMR_0042,microbe_to_disease,肛周脓肿（Anorectal Abscess）,Porphyromonadaceae,紫单胞菌科,porphyromonadaceae,Porphyromonadaceae,family,↑ 增加,increase,致病,risk,increase,inhibit,high,机会致病菌，促进炎症反应
DMR_0043,microbe_to_disease,肛周脓肿（Anorectal Abscess）,Actinomyces,放线菌属,actinomyces,Actinomyces,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,机会致病菌，与肛周感染相关
DMR_0044,microbe_to_disease,肛周脓肿（Anorectal Abscess）,Faecalibacterium（特定菌株）,粪杆菌属（部分菌株）,faecalibacterium特定菌株,Faecalibacterium（特定菌株）,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,特定条件下可促炎（与普拉梭菌作用相反）
DMR_0045,microbe_to_disease,肛周脓肿（Anorectal Abscess）,Eubacterium brachy group,短真杆菌群,eubacteriumbrachygroup,Eubacterium,species,↑ 增加,increase,致病,risk,increase,inhibit,high,与肛周脓肿风险正相关；OR=1.41
DMR_0046,microbe_to_disease,肛瘘（Anal Fistula）,Butyrivibrio,丁酸弧菌属,butyrivibrio,Butyrivibrio,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,产丁酸，抗炎；OR=0.88
DMR_0047,microbe_to_disease,肛瘘（Anal Fistula）,Ruminiclostridium 5,瘤胃梭菌属-5,ruminiclostridium5,Ruminiclostridium,species,↓ 减少,decrease,保护,protective,decrease,promote,high,产短链脂肪酸；OR=0.79
DMR_0048,microbe_to_disease,肛瘘（Anal Fistula）,Erysipelotrichaceae UCG003,丹毒丝菌科UCG003,erysipelotrichaceaeucg003,Erysipelotrichaceae,family,↓ 减少,decrease,保护,protective,decrease,promote,high,维持肠道稳态；OR=0.82
DMR_0049,microbe_to_disease,肛瘘（Anal Fistula）,Haemophilus,嗜血杆菌属,haemophilus,Haemophilus,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,抗炎相关；OR=0.79
DMR_0050,microbe_to_disease,肛瘘（Anal Fistula）,Alloprevotella,另普雷沃氏菌属,alloprevotella,Alloprevotella,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,维持肠道稳态；OR=0.78
DMR_0051,microbe_to_disease,肛瘘（Anal Fistula）,Escherichia-Shigella,埃希-志贺菌属,escherichiashigella,Escherichia-Shigella,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,特定条件下有保护作用；OR=0.82
DMR_0052,microbe_to_disease,肛瘘（Anal Fistula）,Catenibacterium,链状杆菌属,catenibacterium,Catenibacterium,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,与肛瘘风险正相关；OR=1.22
DMR_0053,microbe_to_disease,肛瘘（Anal Fistula）,Eubacterium ruminantium group,反刍真杆菌群,eubacteriumruminantiumgroup,Eubacterium,species,↑ 增加,increase,致病,risk,increase,inhibit,high,与肛瘘风险正相关；OR=1.17
DMR_0054,microbe_to_disease,肛瘘（Anal Fistula）,Ruminococcus,瘤胃球菌属,ruminococcus,Ruminococcus,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,肛瘘患者中富集，降解黏液
DMR_0055,microbe_to_disease,肛瘘（Anal Fistula）,Bacteroides,拟杆菌属,bacteroides,Bacteroides,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,肛瘘患者中富集
DMR_0056,microbe_to_disease,肛瘘（Anal Fistula）,皮肤源性细菌,—,皮肤源性细菌,皮肤源性细菌,genus,检出,unknown,致病,risk,unknown,unknown,low,肛瘘瘘管中微生物部分来源于肛周皮肤（首次发现）
DMR_0057,microbe_to_disease,炎症性肠病（IBD）,Faecalibacterium prausnitzii,普拉梭菌,faecalibacteriumprausnitzii,Faecalibacterium,species,↓ 减少,decrease,保护,protective,decrease,promote,high,产丁酸，抗炎，促进上皮修复；丰度与疾病活动度呈负相关
DMR_0058,microbe_to_disease,炎症性肠病（IBD）,Roseburia spp.,罗氏菌属,roseburiaspp,Roseburia,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,产丁酸，增加Treg细胞，调节免疫耐受
DMR_0059,microbe_to_disease,炎症性肠病（IBD）,Phascolarctobacterium spp.,考拉杆菌属,phascolarctobacteriumspp,Phascolarctobacterium,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,产丙酸，具有抗炎作用
DMR_0060,microbe_to_disease,炎症性肠病（IBD）,Odoribacterium spp.,气味杆菌属,odoribacteriumspp,Odoribacterium,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,参与上皮修复和炎症调控
DMR_0061,microbe_to_disease,炎症性肠病（IBD）,Ruminococcaceae 科,瘤胃球菌科,ruminococcaceae科,Ruminococcaceae,family,↓ 减少,decrease,保护,protective,decrease,promote,high,产乙酸，维持肠道稳态
DMR_0062,microbe_to_disease,炎症性肠病（IBD）,Lachnospiraceae 科,毛螺菌科,lachnospiraceae科,Lachnospiraceae,family,↓ 减少,decrease,保护,protective,decrease,promote,high,产短链脂肪酸，维持免疫稳态
DMR_0063,microbe_to_disease,炎症性肠病（IBD）,Bifidobacterium spp.,双歧杆菌属,bifidobacteriumspp,Bifidobacterium,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,维持免疫稳态，抑制病原体定植
DMR_0064,microbe_to_disease,炎症性肠病（IBD）,Akkermansia muciniphila,嗜黏蛋白阿克曼菌,akkermansiamuciniphila,Akkermansia,species,↓ 减少,decrease,保护,protective,decrease,promote,high,降解粘蛋白，促进屏障功能；缓解期丰度高于活动期
DMR_0065,microbe_to_disease,炎症性肠病（IBD）,Escherichia coli,大肠杆菌,escherichiacoli,Escherichia,species,↑ 增加,increase,致病,risk,increase,inhibit,high,粘附侵袭性大肠杆菌（AIEC），激活TLR4通路，触发炎症
DMR_0066,microbe_to_disease,炎症性肠病（IBD）,Klebsiella pneumoniae,肺炎克雷伯菌,klebsiellapneumoniae,Klebsiella,species,↑ 增加,increase,致病,risk,increase,inhibit,high,机会致病菌，表达超广谱β-内酰胺酶，与病情加重相关
DMR_0067,microbe_to_disease,炎症性肠病（IBD）,Klebsiella variicola,变栖克雷伯菌,klebsiellavariicola,Klebsiella,species,↑ 增加,increase,致病,risk,increase,inhibit,high,肠杆菌科成员，在IBD中显著富集
DMR_0068,microbe_to_disease,炎症性肠病（IBD）,Klebsiella quasipneumoniae,准肺炎克雷伯菌,klebsiellaquasipneumoniae,Klebsiella,species,↑ 增加,increase,致病,risk,increase,inhibit,high,肠杆菌科成员，在IBD中显著富集
DMR_0069,microbe_to_disease,炎症性肠病（IBD）,Proteus mirabilis,奇异变形菌,proteusmirabilis,Proteus,species,↑ 增加,increase,致病,risk,increase,inhibit,high,肠杆菌科成员，在IBD中显著富集
DMR_0070,microbe_to_disease,炎症性肠病（IBD）,Citrobacter freundii,弗氏柠檬酸杆菌,citrobacterfreundii,Citrobacter,species,↑ 增加,increase,致病,risk,increase,inhibit,high,肠杆菌科成员，在IBD中显著富集
DMR_0071,microbe_to_disease,炎症性肠病（IBD）,Citrobacter youngae,杨氏柠檬酸杆菌,citrobacteryoungae,Citrobacter,species,↑ 增加,increase,致病,risk,increase,inhibit,high,肠杆菌科成员，在IBD中显著富集
DMR_0072,microbe_to_disease,炎症性肠病（IBD）,Enterobacteriaceae 科,肠杆菌科,enterobacteriaceae科,Enterobacteriaceae,family,↑ 增加,increase,致病,risk,increase,inhibit,high,整体丰度增加是菌群失调的核心标志，与炎症正相关
DMR_0073,microbe_to_disease,炎症性肠病（IBD）,Enterococcus faecium,屎肠球菌,enterococcusfaecium,Enterococcus,species,↑ 增加,increase,致病,risk,increase,inhibit,high,携带多重耐药基因，在IBD中富集
DMR_0074,microbe_to_disease,炎症性肠病（IBD）,Ruminococcus gnavus,活泼瘤胃球菌,ruminococcusgnavus,Ruminococcus,species,↑ 增加,increase,致病,risk,increase,inhibit,high,黏液降解菌，在IBD中增加
DMR_0075,microbe_to_disease,炎症性肠病（IBD）,Clostridium spp.（部分菌种）,梭菌属（部分菌种）,clostridiumspp部分菌种,Clostridium,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,某些梭菌与肠道炎症相关
DMR_0076,microbe_to_disease,克罗恩病（CD）,Escherichia coli（AIEC）,粘附侵袭性大肠杆菌,escherichiacoliaiec,Escherichia,species,↑ 增加,increase,致病,risk,increase,inhibit,high,CD特征性致病菌，能穿透黏液层、侵袭上皮细胞
DMR_0077,microbe_to_disease,克罗恩病（CD）,Klebsiella oxytoca,产酸克雷伯菌,klebsiellaoxytoca,Klebsiella,species,↑ 增加,increase,致病,risk,increase,inhibit,high,在CD队列中特异性富集，携带耐药基因
DMR_0078,microbe_to_disease,克罗恩病（CD）,Morganella morganii,摩氏摩根菌,morganellamorganii,Morganella,species,↑ 增加,increase,致病,risk,increase,inhibit,high,在CD队列中特异性富集
DMR_0079,microbe_to_disease,克罗恩病（CD）,Citrobacter amalonaticus,无丙二酸柠檬酸杆菌,citrobacteramalonaticus,Citrobacter,species,↑ 增加,increase,致病,risk,increase,inhibit,high,在CD队列中特异性富集
