enzyme_id,enzyme_name,enzyme_family,ec_number,reaction_class,bond_target,substrate_scope,compound_semantic_families,substrate_keywords,likely_products_or_outcomes,step2_mechanistic_role,step1_feedback_role,metabolism_weight,step1_promote_weight,step1_inhibit_weight,notes
ENZ001,beta_glucuronidase,glycosidase,EC 3.2.1.31,deconjugation,glucuronide glycosidic C-O bond,host_phase_ii_conjugates_and_xenobiotics,,glucuronide;glucuronidated;beta-d-glucuronide,aglycone release;re-activation of conjugated metabolites,direct_drug_or_metabolite_deconjugation,mixed_detox_and_reactivation,0.95,0.2,0.35,Important for deconjugation of host/drug glucuronides and enterohepatic recycling.
ENZ002,sulfatase,hydrolase,EC 3.1.6.-,deconjugation,sulfate ester bond,sulfated host molecules and sulfated xenobiotics,,sulfate;sulfated;sulfate ester,desulfation;aglycone release,direct_deconjugation,mixed_detox_and_reactivation,0.8,0.18,0.22,Gut sulfatases can release phenolic or host-derived sulfated compounds.
ENZ003,azoreductase,reductase,EC 1.7.-.-,reduction,azo N=N bond,azo dyes and azo-linked prodrugs,,azo;diazo;sulfasalazine;prontosil,azo bond cleavage;amine release,direct_drug_activation_or_cleavage,bioactivation_risk,0.95,0.05,0.35,A classic gut-drug metabolism mechanism for azo compounds.
ENZ004,nitroreductase,reductase,EC 1.7.1.-,reduction,nitro group,nitroaromatics and nitroheterocycles,,nitro;nitrofuran;nitroimidazole;nitroaromatic,nitro reduction to hydroxylamine or amine,direct_drug_reduction,bioactivation_risk,0.9,0.05,0.3,Can contribute to activation or detoxification depending on the compound.
ENZ005,carboxylesterase,hydrolase,EC 3.1.1.-,hydrolysis,carboxylic ester bond,"ester-containing drugs, prodrugs, and lipophilic esters",,ester;acetate ester;prodrug ester,ester hydrolysis;acid and alcohol release,direct_drug_hydrolysis,detox_or_nutrient_release,0.85,0.22,0.12,A broad class useful for ester cleavage priors.
ENZ006,amidase,hydrolase,EC 3.5.1.-,hydrolysis,amide bond,amide-containing drugs and simple amides,,amide;acetamide;lactam,amide hydrolysis;acid and amine release,direct_drug_hydrolysis,detox_or_nutrient_release,0.78,0.18,0.1,Broad hydrolase prior for drug amides and related bonds.
ENZ007,beta_glucosidase,glycosidase,EC 3.2.1.21,deconjugation,beta-glucosidic bond,"plant glycosides, flavonoid glycosides, and oligosaccharides",flavonoid_glycoside;plant_polysaccharide,glucoside;glycoside;cellobiose;arbutin;salicin,aglycone release;simple sugar release,dietary_xenobiotic_and_glycoside_processing,cross_feeding_support,0.6,0.75,0.05,Important for releasing aglycones and fermentable sugars from glycosides.
ENZ008,alpha_rhamnosidase,glycosidase,EC 3.2.1.40,deconjugation,rhamnoside bond,rhamnose-containing flavonoid glycosides,flavonoid_glycoside,rhamnoside;rutinoside;rhamnose;rutinose;rutin,deglycosylation;aglycone release,glycoside_processing,cross_feeding_support,0.68,0.8,0.04,Useful for flavonoid rutinosides and similar plant-derived glycosides.
ENZ009,beta_galactosidase,glycosidase,EC 3.2.1.23,deconjugation,beta-galactosidic bond,galactosides and galactan-containing substrates,plant_polysaccharide,galactoside;galactan;lactose;arabinogalactan,simple sugar release,carbohydrate_processing,cross_feeding_support,0.52,0.72,0.03,Supports utilization of galactose-containing glycans and dietary substrates.
ENZ010,bile_salt_hydrolase,hydrolase,EC 3.5.1.24,deconjugation,amide bond in conjugated bile salts,host conjugated bile acids,,taurocholate;glycocholate;bile salt;conjugated bile acid,bile acid deconjugation,host_metabolite_processing,community_context_modulation,0.35,0.42,0.06,"Primarily host-bile related, but relevant to community-level ecology."
ENZ011,o_demethylase,transferase_complex,NA,demethylation,aryl O-CH3 bond,methoxylated aromatics and polyphenols,polyphenol;catechin_gallate,methoxy;guaiacol;anisole;vanillate;ferulate,O-demethylation;catechol-like intermediates,aromatic_xenobiotic_transformation,metabolism_supported_promote,0.72,0.3,0.12,A useful prior for anaerobic polyphenol biotransformation.
ENZ012,dehydroxylase,lyase_or_reductive_complex,NA,dehydroxylation,aryl C-OH functionality,"polyphenols, catechols, and steroid-like substrates",polyphenol;catechin_gallate,catechol;polyphenol;hydroxylated aromatic,dehydroxylated aromatic products,anaerobic_aromatic_transformation,metabolism_supported_promote,0.68,0.28,0.1,Represents anaerobic reduction/removal of hydroxyl substituents.
ENZ013,deacetylase,hydrolase,EC 3.1.1.-,deacetylation,acetyl ester or acetamide group,acetylated carbohydrates and acetylated xenobiotics,plant_polysaccharide,acetyl;acetate;acetylated,deacetylation;acetate release,deprotection_and_carbohydrate_access,cross_feeding_support,0.62,0.46,0.08,Useful for loosening acetylated glycans or acetylated small molecules.
ENZ014,phosphatase,hydrolase,EC 3.1.3.-,hydrolysis,phosphate ester bond,phosphorylated metabolites and phosphate esters,,phosphate;phospho;phosphorylated,dephosphorylation,cofactor_or_metabolite_processing,nutrient_release_support,0.45,0.24,0.04,A broad hydrolysis prior for phosphate-containing substrates.
ENZ015,mucin_glycosidase,glycosidase_complex,NA,deconjugation,host glycan glycosidic bonds,mucin and host-derived glycans,,mucin;host glycan;fucose;sialic acid,host glycan liberation;community cross-feeding,host_glycan_processing,cross_feeding_support,0.3,0.58,0.06,Especially relevant to mucin-degrading taxa such as Akkermansia.
ENZ016,polysaccharide_lyase,lyase,EC 4.2.2.-,ring_cleavage,complex polysaccharide backbone,dietary polysaccharides and glycan polymers,plant_polysaccharide;mannan_oligosaccharide,galactomannan;mannan;oligosaccharide;pectin;alginate,oligosaccharide release;cross-feeding substrates,substrate_liberation_for_community_metabolism,cross_feeding_support,0.4,0.82,0.02,A proxy for PUL-like carbohydrate access functions in glycan degraders.
